8_83/132,RKC017.A,22,MA/LA,,2,F,25-30,"NNW-SSE, simple pit, 200x70x15cm",iron buckle,
8_54/89,RKC007.A,11,MA/LA,652-759,2,F,50-59,"NNW-SSE, simple pit, 211x73x37cm, post-hole structure, in situ","iron buckle with copper-alloy prong, spindle whorl",
8_123/192,RKC021.A,28,MA/LA,671-772,2,M,45-55,"NW-SE, simple pit, 230x85x60cm, post-hole structure",no grave goods,
8_57/98,RKC008.A,12,LA II/III,,2,F (?),17-19,"NW-SE, simple pit, 232x50x52cm, post-hole structure, in situ","copper-alloy agraffe-pair with glass inlay, pair of copper-alloy bracelets, necklace (glass beads): translucent spherical (2), blue compressed spherical (1), translucent, white, and green conical (11), translucent, light green/turqoise, and grey/black cylindrical (53), blue prism-shaped (2), translucent light green/turqoise, and dark green/blue/black melon seed-shaped (156), iron buckle ",
8_100/154,RKC018.A,24,LA III,681-818,2,M,55-59,"NNW-SSE, simple pit, 240x100x84cm, post-hole structure, partly disturbed","cast copper-alloy belt set: buckle, small elongated fittings partly with shield-shaped hinged part (9), shield-shaped hole-protector (1), two rhombic fittings, narrow propeller-shaped fitting, small shield-shaped fittings with floral ornament (5), small strap end with tendril ornament, large two-plated strap end with openwork lilly ornament",
8_71/114,RKC009.A,14,LA,679-771,2,M,45-55,"NNW-SSE, simple pit, 212x75x30cm, post-hole structure",no grave goods,
